"DOTA_Tooltip_ability_special_bonus_unique_mars_spear_stun_duration"                      "+%value%s Spear of Mars Stun"
"DOTA_Tooltip_ability_special_bonus_unique_mars_spear_bonus_damage"                       "+%value% Spear Of Mars Damage"
"DOTA_Tooltip_ability_special_bonus_unique_mars_arena_of_blood_hp_regen"                  "Arena Of Blood Grants Team +%value% HP Regen"
"DOTA_Tooltip_ability_special_bonus_unique_mars_gods_rebuke_extra_crit"                   "God's Rebuke +%value%%% Crit"
"DOTA_Tooltip_ability_special_bonus_unique_mars_spear_cooldown"                           "-%value%s Spear Cooldown"
"DOTA_Tooltip_ability_special_bonus_unique_void_spirit_1"                                 "%value% Astral Step Charge Restore Time"
"DOTA_Tooltip_ability_special_bonus_unique_void_spirit_2"                                 "+%value% Astral Step Range"
"DOTA_Tooltip_ability_special_bonus_unique_void_spirit_3"                                 "Dissimilate Stuns for %value%s"
"DOTA_Tooltip_ability_special_bonus_unique_void_spirit_4"                                 "+%value% Resonant Pulse Damage"
"DOTA_Tooltip_ability_special_bonus_unique_void_spirit_5"                                 "%value%%% Larger Dissimilate Portals"
"DOTA_Tooltip_ability_special_bonus_unique_void_spirit_6"                                 "Dissimilate Grants %value%s Invisibility"
"DOTA_Tooltip_ability_special_bonus_unique_void_spirit_7"                                 "Remnant Provides %value% Truesight"
"DOTA_Tooltip_ability_special_bonus_unique_void_spirit_8"                                 "Astral Step %value%%% Crit"
"DOTA_Tooltip_ability_special_bonus_unique_void_spirit_8_Description"                     "Attacks made with Astral Step deal a critical strike."
"DOTA_Tooltip_ability_special_bonus_unique_void_spirit_9"                                 "+%value% Astral Step Charges"
"DOTA_Tooltip_ability_special_bonus_unique_snapfire_1"                                    "+%value% Mortimer Kisses Launched"
"DOTA_Tooltip_ability_special_bonus_unique_snapfire_2"                                    "+1.5 Lil' Shredder Armor Reduction"
"DOTA_Tooltip_ability_special_bonus_unique_snapfire_3"                                    "Scatterblast Applies %value%s Disarm"
"DOTA_Tooltip_ability_special_bonus_unique_snapfire_4"                                    "+%value%%% Mortimer Kisses Movement Slow"
"DOTA_Tooltip_ability_special_bonus_unique_snapfire_5"                                    "Firesnap Cookie Restores %value% Health"
"DOTA_Tooltip_ability_special_bonus_unique_snapfire_6"                                    "Lil' Shredder Uses Your Attack Damage"
"DOTA_Tooltip_ability_special_bonus_unique_snapfire_7"                                    "+%value% Scatterblast Damage"
"DOTA_Tooltip_ability_special_bonus_unique_snapfire_8"                                    "%value%x Lil' Shredder Multishot"
"DOTA_Tooltip_ability_special_bonus_undefined"                                            "Undefined"
"DOTA_Tooltip_ability_special_bonus_hp_100"                                               "+%value% Health"
"DOTA_Tooltip_ability_special_bonus_hp_125"                                               "+%value% Health"
